distMean,outcome,pred,is_oddball
305.0,280.0,67.81330729105765,-1.0
305.0,303.0,278.19173637056275,-1.0
305.0,268.0,289.4602773793416,-1.0
305.0,320.0,283.2553577308008,-1.0
305.0,303.0,304.0304574173781,-1.0
305.0,301.0,304.41305117682333,-1.0
305.0,301.0,303.1119584615943,-1.0
305.0,279.0,300.95472265510773,-1.0
305.0,300.0,289.8147715855735,-1.0
305.0,323.0,291.3988794619489,-1.0
264.0,241.0,305.40999595822973,-1.0
264.0,271.0,246.80917949926032,-1.0
264.0,286.0,263.6409178352659,-1.0
264.0,275.0,274.9129675704667,-1.0
264.0,241.0,275.3530182466222,-1.0
264.0,282.0,248.89479823666028,-1.0
264.0,254.0,266.7324967477759,-1.0
264.0,260.0,263.8622985078488,-1.0
264.0,239.0,261.0630618677024,-1.0
264.0,307.0,248.00990557357483,-1.0
264.0,249.0,292.00451183870916,-1.0
146.0,132.0,271.01273764351254,-1.0
146.0,131.0,132.02624920970302,-1.0
146.0,156.0,134.9906132127558,-1.0
146.0,121.0,153.65668806681467,-1.0
146.0,154.0,129.55458889907337,-1.0
146.0,194.0,153.55871045308476,-1.0
146.0,175.0,187.70202160984655,-1.0
125.0,132.0,177.8327924682681,-1.0
125.0,138.0,144.87034195100037,-1.0
125.0,95.0,145.24491772159544,-1.0
125.0,136.0,112.0207235664029,-1.0
125.0,107.0,130.5668136184268,-1.0
125.0,156.0,113.7423211919969,-1.0
125.0,127.0,151.20082185901154,-1.0
125.0,140.0,137.7684619551936,-1.0
266.0,291.0,145.32803380029836,-1.0
266.0,263.0,283.81465115590754,-1.0
266.0,269.0,277.7690838909931,-1.0
266.0,274.0,273.7545791606734,-1.0
266.0,290.0,274.3457397932006,-1.0
266.0,248.0,281.7053023586477,-1.0
266.0,286.0,263.6853652099898,-1.0
266.0,253.0,274.2757681605266,-1.0
266.0,260.0,267.0398015771648,-1.0
29.0,31.0,262.6534441229285,-1.0
29.0,26.0,25.317492131043725,-1.0
29.0,21.0,24.16982174537698,-1.0
29.0,28.0,18.451209592512924,-1.0
231.0,205.0,22.619552280882885,-1.0
231.0,224.0,200.71376682256462,-1.0
231.0,207.0,215.25140045823332,-1.0
231.0,229.0,213.2263220541757,-1.0
231.0,229.0,213.62101750542212,-1.0
231.0,238.0,220.05104084947138,-1.0
231.0,261.0,230.0445586275402,-1.0
231.0,242.0,247.79578886506152,-1.0
61.0,40.0,246.4421126442524,-1.0
61.0,67.0,42.08227433273214,-1.0
61.0,37.0,55.54131522395997,-1.0
299.0,284.0,38.60504110998695,-1.0
299.0,291.0,279.86771110317727,-1.0
299.0,340.0,282.443706090972,-1.0
299.0,294.0,311.9336385306305,-1.0
299.0,306.0,303.17742273223064,-1.0
57.0,54.0,301.8917916172328,-1.0
57.0,67.0,52.31627765819289,-1.0
57.0,67.0,59.50198428793703,-1.0
57.0,58.0,64.48678449613463,-1.0
272.0,272.0,62.33482609861212,-1.0
272.0,284.0,269.49045014904243,-1.0
272.0,283.0,273.3123285388468,-1.0
272.0,261.0,278.6437368370918,-1.0
272.0,275.0,273.70680955823406,-1.0
272.0,247.0,275.77313987564077,-1.0
272.0,282.0,257.7001226065323,-1.0
338.0,310.0,269.58440766314254,-1.0
338.0,339.0,295.35808008950767,-1.0
338.0,347.0,322.95601190923713,-1.0
338.0,358.0,338.7563903535606,-1.0
338.0,352.0,351.5266330798427,-1.0
174.0,155.0,346.8773110088442,-1.0
174.0,162.0,163.0522140637631,-1.0
174.0,169.0,165.03638382034393,-1.0
174.0,182.0,170.08169921790247,-1.0
106.0,77.0,176.32640020659497,-1.0
106.0,98.0,79.46524468028535,-1.0
106.0,93.0,85.46818956621422,-1.0
106.0,114.0,88.41379365568801,-1.0
106.0,129.0,102.3425157154108,-1.0
106.0,117.0,125.10041557952695,-1.0
219.0,224.0,121.82141168317158,-1.0
219.0,236.0,223.26261292766338,-1.0
219.0,207.0,233.53281562759076,-1.0
219.0,249.0,215.70059011378842,-1.0
105.0,97.0,240.01098171691564,-1.0
105.0,133.0,95.9821717349098,-1.0
105.0,94.0,124.42019786055305,-1.0
105.0,118.0,109.95426339826055,-1.0
105.0,83.0,115.64064548803097,-1.0
105.0,112.0,98.33574607375952,-1.0
158.0,171.0,100.96543526951561,-1.0
158.0,140.0,163.25622013724788,-1.0
158.0,150.0,150.29609335879076,-1.0
158.0,162.0,152.57137537183615,-1.0
158.0,182.0,160.1343009756242,-1.0
158.0,135.0,179.54531719171854,-1.0
158.0,153.0,149.01776128002442,-1.0
110.0,111.0,157.1001676137408,-1.0
110.0,101.0,120.54878560510716,-1.0
110.0,90.0,107.60017950706911,-1.0
110.0,121.0,96.13780181383024,-1.0
110.0,106.0,112.0999548125851,-1.0
