distMean,outcome,pred,is_oddball,rule
256,268,0.0,-1.0,1
256,275,314.2499999999997,-1.0,1
256,255,273.7499999999995,-1.0,1
256,257,273.7499999999995,-1.0,1
113,118,263.99999999999943,-1.0,1
113,61,263.99999999999943,-1.0,1
113,138,87.74999999999847,-1.0,1
113,123,115.49999999999862,-1.0,1
113,134,115.49999999999862,-1.0,1
3,29,121.49999999999864,-1.0,1
3,346,121.49999999999864,-1.0,1
3,36,8.999999999998355,-1.0,1
3,342,24.74999999999837,-1.0,1
3,8,2.999999999998355,-1.0,1
3,359,9.749999999998357,-1.0,1
59,80,5.999999999998356,-1.0,1
59,54,46.49999999999832,-1.0,1
59,69,50.99999999999831,-1.0,1
59,47,59.249999999998295,-1.0,1
59,66,47.99999999999832,-1.0,1
59,66,56.249999999998295,-1.0,1
297,280,65.24999999999834,-1.0,1
297,322,292.4999999999996,-1.0,1
297,283,309.7499999999997,-1.0,1
297,303,299.24999999999966,-1.0,1
239,212,299.24999999999966,-1.0,1
239,227,235.4999999999993,-1.0,1
239,245,226.49999999999923,-1.0,1
239,246,240.7499999999993,-1.0,1
239,212,247.4999999999993,-1.0,1
239,206,224.24999999999923,-1.0,1
112,134,211.49999999999915,-1.0,1
112,85,119.99999999999864,-1.0,1
112,136,109.49999999999858,-1.0,1
112,83,121.49999999999864,-1.0,1
112,107,108.74999999999858,-1.0,1
112,122,108.74999999999858,-1.0,1
112,145,110.9999999999986,-1.0,1
112,134,129.7499999999987,-1.0,1
320,318,132.74999999999872,-1.0,1
320,333,321.7499999999998,-1.0,1
320,339,335.99999999999983,-1.0,1
320,317,341.9999999999999,-1.0,1
320,303,329.24999999999983,-1.0,1
310,305,315.7499999999997,-1.0,1
310,296,319.4999999999998,-1.0,1
310,315,312.7499999999997,-1.0,1
310,306,319.4999999999998,-1.0,1
310,324,308.2499999999997,-1.0,1
260,258,317.2499999999998,-1.0,1
260,252,255.7499999999994,-1.0,1
260,261,255.7499999999994,-1.0,1
260,242,255.7499999999994,-1.0,1
331,345,255.7499999999994,-1.0,1
331,352,344.2499999999999,-1.0,1
331,327,346.49999999999994,-1.0,1
331,307,341.2499999999999,-1.0,1
331,308,315.7499999999997,-1.0,1
331,324,309.7499999999997,-1.0,1
331,349,316.4999999999998,-1.0,1
165,157,0.0,-1.0,1
165,182,156.00000000000048,-1.0,1
165,178,169.50000000000054,-1.0,1
165,192,173.25000000000057,-1.0,1
165,171,173.25000000000057,-1.0,1
165,156,173.25000000000057,-1.0,1
165,139,168.75000000000054,-1.0,1
165,168,165.0000000000005,-1.0,1
165,189,170.25000000000054,-1.0,1
165,149,178.5000000000006,-1.0,1
63,97,164.2500000000005,-1.0,1
63,62,99.75000000000016,-1.0,1
63,53,87.75000000000009,-1.0,1
63,36,56.24999999999992,-1.0,1
63,53,43.49999999999996,-1.0,1
116,106,55.49999999999992,-1.0,1
116,117,103.50000000000016,-1.0,1
116,71,110.2500000000002,-1.0,1
116,103,96.75000000000014,-1.0,1
116,119,102.00000000000016,-1.0,1
116,107,107.2500000000002,-1.0,1
116,132,107.2500000000002,-1.0,1
116,127,123.75000000000028,-1.0,1
116,124,123.75000000000028,-1.0,1
147,159,123.75000000000028,-1.0,1
147,157,132.00000000000034,-1.0,1
147,152,156.75000000000048,-1.0,1
147,138,156.75000000000048,-1.0,1
147,140,141.7500000000004,-1.0,1
147,143,141.7500000000004,-1.0,1
147,142,141.7500000000004,-1.0,1
142,164,141.7500000000004,-1.0,1
142,175,155.25000000000043,-1.0,1
142,151,166.50000000000054,-1.0,1
142,135,156.00000000000048,-1.0,1
142,149,135.75000000000037,-1.0,1
142,146,144.7500000000004,-1.0,1
207,183,144.7500000000004,-1.0,1
207,206,162.0000000000005,-1.0,1
207,205,194.25000000000068,-1.0,1
207,222,202.5000000000008,-1.0,1
207,186,202.5000000000008,-1.0,1
207,192,198.7500000000007,-1.0,1
207,219,198.7500000000007,-1.0,1
207,197,204.7500000000008,-1.0,1
207,213,203.2500000000008,-1.0,1
207,186,206.2500000000008,-1.0,1
207,196,199.5000000000007,-1.0,1
159,157,197.2500000000007,-1.0,1
159,123,170.25000000000054,-1.0,1
159,171,127.50000000000033,-1.0,1
159,133,150.75000000000043,-1.0,1
5,6,144.15000000000086,-1.0,1
5,317,144.15000000000086,-1.0,1
5,355,339.7499999999999,-1.0,1
5,349,346.49999999999994,-1.0,1
5,352,346.49999999999994,-1.0,1
5,35,352.49999999999994,-1.0,1
5,353,25.50000000000001,-1.0,1
222,236,11.999999999999998,-1.0,1
1,11,0.0,-1.0,1
1,38,15.749999999999996,-1.0,1
1,338,27.75000000000001,-1.0,1
1,356,20.250000000000004,-1.0,1
1,27,20.250000000000004,-1.0,1
1,9,20.250000000000004,-1.0,1
1,316,20.250000000000004,-1.0,1
1,355,319.4999999999998,-1.0,1
1,342,335.24999999999983,-1.0,1
344,359,335.24999999999983,-1.0,1
344,315,349.49999999999994,-1.0,1
344,6,326.99999999999983,-1.0,1
344,319,349.49999999999994,-1.0,1
344,354,336.7499999999999,-1.0,1
344,334,347.99999999999994,-1.0,1
40,33,334.49999999999983,-1.0,1
40,42,21.000000000000004,-1.0,1
40,28,38.24999999999999,-1.0,1
40,64,30.00000000000001,-1.0,1
40,31,59.99999999999994,-1.0,1
40,30,34.5,-1.0,1
40,57,34.5,-1.0,1
40,50,46.499999999999964,-1.0,1
40,38,46.499999999999964,-1.0,1
40,60,46.499999999999964,-1.0,1
40,33,52.49999999999994,-1.0,1
40,53,47.24999999999996,-1.0,1
40,20,47.24999999999996,-1.0,1
40,51,38.99999999999999,-1.0,1
40,29,51.74999999999995,-1.0,1
40,61,42.74999999999997,-1.0,1
48,49,51.74999999999995,-1.0,1
48,37,51.74999999999995,-1.0,1
48,14,44.999999999999964,-1.0,1
48,65,44.999999999999964,-1.0,1
48,71,44.999999999999964,-1.0,1
48,75,52.49999999999994,-1.0,1
112,138,61.49999999999995,-1.0,1
112,106,99.00000000000016,-1.0,1
112,116,105.7500000000002,-1.0,1
112,83,115.50000000000024,-1.0,1
112,121,103.50000000000016,-1.0,1
112,98,113.25000000000024,-1.0,1
112,111,103.50000000000016,-1.0,1
112,103,114.75000000000024,-1.0,1
249,228,109.5000000000002,-1.0,1
249,243,109.5000000000002,-1.0,1
249,250,237.7500000000009,-1.0,1
249,226,237.7500000000009,-1.0,1
42,63,237.7500000000009,-1.0,1
42,39,65.24999999999996,-1.0,1
42,49,48.74999999999994,-1.0,1
42,25,48.74999999999994,-1.0,1
42,57,48.74999999999994,-1.0,1
42,43,48.74999999999994,-1.0,1
8,350,48.74999999999994,-1.0,1
8,350,352.49999999999994,-1.0,1
8,35,352.49999999999994,-1.0,1
8,340,12.749999999999996,-1.0,1
8,357,357.0,-1.0,1
41,27,0.0,-1.0,1
41,36,22.500000000000007,-1.0,1
41,35,30.00000000000001,-1.0,1
41,46,30.00000000000001,-1.0,1
60,43,36.74999999999999,-1.0,1
60,69,41.99999999999998,-1.0,1
60,70,59.99999999999994,-1.0,1
60,47,64.49999999999997,-1.0,1
60,64,50.99999999999995,-1.0,1
60,79,58.499999999999936,-1.0,1
60,48,74.25000000000003,-1.0,1
60,51,53.24999999999994,-1.0,1
60,59,53.24999999999994,-1.0,1
60,64,53.24999999999994,-1.0,1
60,66,53.24999999999994,-1.0,1
336,336,62.99999999999996,-1.0,1
336,334,335.24999999999983,-1.0,1
336,4,335.24999999999983,-1.0,1
336,30,347.24999999999994,-1.0,1
336,359,18.0,-1.0,1
336,322,4.5,-1.0,1
336,7,326.24999999999983,-1.0,1
336,337,347.99999999999994,-1.0,1
336,0,343.4999999999999,-1.0,1
336,352,350.99999999999994,-1.0,1
336,350,350.99999999999994,-1.0,1
336,336,350.99999999999994,-1.0,1
336,343,344.9999999999999,-1.0,1
336,334,344.9999999999999,-1.0,1
336,349,341.9999999999999,-1.0,1
336,319,344.9999999999999,-1.0,1
31,37,334.49999999999983,-1.0,1
31,56,37.49999999999999,-1.0,1
31,55,51.74999999999995,-1.0,1
31,22,51.74999999999995,-1.0,1
31,11,39.74999999999998,-1.0,1
31,37,21.0,-1.0,1
31,40,33.75,-1.0,1
31,16,33.75,-1.0,1
133,139,33.75,-1.0,1
133,141,140.25000000000037,-1.0,1
133,148,140.25000000000037,-1.0,1
133,133,140.25000000000037,-1.0,1
133,134,140.25000000000037,-1.0,1
291,256,140.25000000000037,-1.0,1
291,295,256.500000000001,-1.0,1
291,295,279.00000000000114,-1.0,1
291,269,284.2500000000012,-1.0,1
291,278,279.7500000000012,-1.0,1
291,298,279.7500000000012,-1.0,1
291,268,279.7500000000012,-1.0,1
291,291,279.7500000000012,-1.0,1
291,270,279.7500000000012,-1.0,1
291,280,279.7500000000012,-1.0,1
291,320,279.7500000000012,-1.0,1
182,175,315.75000000000136,-1.0,1
182,185,315.75000000000136,-1.0,1
182,193,183.00000000000065,-1.0,1
182,196,176.2500000000006,-1.0,1
24,9,195.75000000000068,-1.0,1
253.6450938481541,240,22.500000000000007,0,-1
244.409903954257,256,271.4999999999995,0,-1
225.5186692158392,250,252.74999999999932,0,-1
236.53190331460263,253,245.2499999999993,0,-1
244.59812579117624,249,252.74999999999932,1,-1
256.8396068469358,276,252.74999999999932,0,-1
274.6978147454138,303,257.99999999999943,0,-1
263.24978143101816,247,266.9999999999995,0,-1
254.4127567639771,241,255.7499999999994,0,-1
259.47427370213427,255,248.99999999999932,1,-1
275.0053595256176,309,255.7499999999994,0,-1
